設置場所名称,所在地,電話番号,営業時間,急速充電器基数,普通充電器基数,加盟・提携区分,施設カテゴリー,ネットワーク事業者,新規,新規設置利用開始日,備考
千葉トヨペット　大宮店,千葉県千葉市若葉区大宮町３０９１－７,043-236-1311,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨタ　アレス若松店,千葉県千葉市若葉区若松町１番地１,043-231-5221,10:00 ～ 18:00,0,4,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨタ　加曽利店　,千葉県千葉市若葉区加曽利町１７０番地,043-231-6311,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
とんでん　若松店,千葉県千葉市若葉区若松町２１２８－１,043-234-8751,10:00 ～ 00:30,0,2,加盟,飲食店,日本ユニシス,,,
ファミリーマート千葉茂呂町店,千葉県千葉市緑区茂呂町３９８－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート千葉あすみが丘九丁目店,千葉県千葉市緑区あすみが丘９－１－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート千葉越智町店,千葉県千葉市緑区越智町７４７－３１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
千葉日産土気あすみが丘店,千葉県千葉市緑区あすみが丘東２丁目２１－５,043-205-8001,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオンタウンおゆみ野,千葉県千葉市緑区おゆみ野南５－３７－１,043-212-6366,10:00 ～ 22:00,1,1,提携,大規模小売店舗,NEC,,,
ミスターマックスおゆみ野店,千葉県千葉市緑区おゆみ野中央２－３－１,,10:00 ～ 00:00,2,0,提携,大規模小売店舗,e-Moblity Power,,,【定休日等】店舗の休業日に準ずる
ホンダカーズ千葉　鎌取店,千葉県千葉市緑区おゆみ野３－６－５,043-292-5700,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,毎週火曜・水曜定休。年末年始・GW・お盆など不定期に停止することがあります。詳細はHonda Cars 千葉のホームページをご確認ください。
ネッツトヨタ千葉　古市場店,千葉県千葉市緑区古市場町５５６－１,043-266-0281,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ千葉　土気あすみが丘店,千葉県千葉市緑区あすみが丘３－５２－５,043-295-2011,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨペット　土気店,千葉県千葉市緑区あすみが丘１－１７－１１,043-295-1181,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨタ　土気あすみが丘店,千葉県千葉市緑区あすみが丘３丁目１４番地１,043-295-1811,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
東急セブンハンドレッドクラブ,千葉県千葉市緑区小山町３５９－６,,07:00 ～ 17:00,0,3,加盟,飲食店,日本ユニシス,,,【定休日等】1月1日・2日、12月31日　毎週月曜日※月曜日が祝日の場合翌日
千葉三菱コルト自動車販売（株）中央店,千葉県千葉市美浜区新港１７９,043-246-5817,10:00 ～ 17:30,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】ＧＷ、お盆、年末年始、定休日
ファミリーマート千葉幸町二丁目店,千葉県千葉市美浜区幸町２－２１－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
千葉日産ポートリオン新港,千葉県千葉市美浜区新港１６９,043-247-6811,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産サティオ千葉中央店,千葉県千葉市美浜区稲毛海岸２丁目１－２１,043-241-2135,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ナンバーセンター千葉,千葉県千葉市美浜区新港２００,043-242-4627,08:00 ～ 17:00,1,0,提携,その他,JCN,,,【定休日等】土曜日、日曜日、国民の祝日に関する法律に規定する休日、１２月２９日から翌年１月３日まで
イオンモール幕張新都心グランドモール,千葉県千葉市美浜区豊砂１－１グランドモール,043-351-7500,10:00 ～ 21:00,2,3,提携,大規模小売店舗,NEC,,,【駐車料金等】駐車料金:100円/20
イオンモール幕張新都心ペットモール,千葉県千葉市美浜区豊砂１－１ペットモール,043-351-7500,10:00 ～ 21:00,1,3,提携,大規模小売店舗,NEC,,,【駐車料金等】駐車料金:100円/20
イオンモール幕張新都心ファミリーモール,千葉県千葉市美浜区豊砂１－１ファミリーモール,043-351-7500,10:00 ～ 21:00,1,2,提携,大規模小売店舗,NEC,,,【駐車料金等】駐車料金:100円/20
イオンモール幕張新都心アクティブモール,千葉県千葉市美浜区豊砂１－１アクティブモール,043-351-7500,10:00 ～ 21:00,1,2,提携,大規模小売店舗,NEC,,,【駐車料金等】駐車料金:100円/20
イオンスタイル幕張ベイパーク,千葉県千葉市美浜区若葉３丁目２－１６,,09:00 ～ 22:00,1,1,提携,大規模小売店舗,NEC,,,
東関東自動車道　湾岸幕張ＰＡ上り,千葉県千葉市美浜区浜田２－１０２,,24時間営業,1,0,提携,ＳＡ/ＰＡ,e-Moblity Power,,,【定休日等】年中無休
東関東自動車道　湾岸幕張ＰＡ下り,千葉県千葉市美浜区浜田２－１０２,,24時間営業,1,0,提携,ＳＡ/ＰＡ,e-Moblity Power,,,【定休日等】年中無休
イオンモール幕張新都心アクティブモール,千葉県千葉市美浜区豊砂１－１アクティブモール,043-351-7500,10:00 ～ 21:00,0,5,提携,大規模小売店舗,NEC,,,
イオンモール幕張新都心グランドモール,千葉県千葉市美浜区豊砂１－１グランドモール,043-351-7500,10:00 ～ 21:00,0,10,提携,大規模小売店舗,NEC,,,
イオンモール幕張新都心ファミリーモール,千葉県千葉市美浜区豊砂１－１ファミリーモール,043-351-7500,10:00 ～ 21:00,0,5,提携,大規模小売店舗,NEC,,,
イオンモール幕張新都心ペットモール,千葉県千葉市美浜区豊砂１－１ペットモール,043-351-7500,10:00 ～ 21:00,0,5,提携,大規模小売店舗,NEC,,,
ネッツトヨタ千葉　ネッツタウン新港,千葉県千葉市美浜区新港７０－１,043-204-8800,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ東都　ベイ幕張店,千葉県千葉市美浜区若葉２－２,043-276-0681,10:00 ～ 18:00,0,2,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタカローラ千葉　幸町店,千葉県千葉市美浜区幸町１－６－３,043-242-9980,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨペット　幸町店,千葉県千葉市美浜区幸町２－１－１,043-242-3141,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨペット　中央店,千葉県千葉市美浜区稲毛海岸４－５－１,043-241-1171,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨタ　みはま店　,千葉県千葉市美浜区新港１８３番地,043-302-2000,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
とんでん　千葉幸町店,千葉県千葉市美浜区幸町２－２０－２９,043-204-2961,10:00 ～ 00:30,0,2,加盟,飲食店,日本ユニシス,,,
ニトリ　幕張店,千葉県千葉市美浜区幕張西４－１－１５,,10:00 ～ 21:00,0,3,加盟,大規模小売店舗,日本ユニシス,,,
日産サティオ千葉銚子店,千葉県銚子市長塚町１丁目１－３１,0479-23-3201,24時間営業,1,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオンモール銚子,千葉県銚子市三崎町２－２６６０－１,0479-20-0400,10:00 ～ 21:00,1,1,提携,大規模小売店舗,NEC,,,
セブンイレブン銚子三崎町１丁目店,千葉県銚子市三崎町１丁目７５,,24時間営業,2,0,提携,コンビニエンスストア,e-Moblity Power,,,
ちゃ～じんぐ　ぱ～く　ミニ　銚電犬吠駅前,千葉県銚子市犬吠埼９５９５番地の１,,24時間営業,0,1,提携,その他,エネゲート,,,
イオンモール銚子,千葉県銚子市三崎町２－２６６０－１,0479-20-0400,10:00 ～ 21:00,0,8,提携,大規模小売店舗,NEC,,,
ネッツトヨタ千葉　銚子三崎店,千葉県銚子市三崎町３－３,0479-25-0961,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ東都　銚子店,千葉県銚子市垣根町２－２０４－１,0479-25-4011,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタカローラ千葉　銚子松岸店,千葉県銚子市松岸町３－２７７－３０,0479-22-7470,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
